https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1678064400000,2023-03-06 01:00:00,DAI/USD,0.99877,0.99881,0.99877,0.99881,1.002921,1.0017275240099999
1678060800000,2023-03-06 00:00:00,DAI/USD,0.99882,0.99882,0.99877,0.99877,0.196614,0.19637216478000002
1678057200000,2023-03-05 23:00:00,DAI/USD,0.99882,0.99882,0.99882,0.99882,0.0,0.0
1678053600000,2023-03-05 22:00:00,DAI/USD,0.99916,0.99916,0.99882,0.99882,14.801214,14.78374856748
1678050000000,2023-03-05 21:00:00,DAI/USD,0.99916,0.99916,0.99916,0.99916,0.0,0.0
1678046400000,2023-03-05 20:00:00,DAI/USD,0.99879,0.99916,0.99879,0.99916,77.827595,77.7622198202
1678042800000,2023-03-05 19:00:00,DAI/USD,0.99916,0.99916,0.99879,0.99879,19.016,18.99299064
1678039200000,2023-03-05 18:00:00,DAI/USD,0.99822,0.99916,0.99822,0.99916,80.42543,80.3578726388
1678035600000,2023-03-05 17:00:00,DAI/USD,0.9976,0.99822,0.9976,0.99822,1.056874,1.05499276428
1678032000000,2023-03-05 16:00:00,DAI/USD,0.9976,0.9976,0.9976,0.9976,0.0,0.0
1678028400000,2023-03-05 15:00:00,DAI/USD,0.99885,0.99885,0.9976,0.9976,4505.0,4494.188
1678024800000,2023-03-05 14:00:00,DAI/USD,0.99881,0.99885,0.99881,0.99885,0.526871,0.52626509835
1678021200000,2023-03-05 13:00:00,DAI/USD,0.99881,0.99881,0.99881,0.99881,0.0,0.0
1678017600000,2023-03-05 12:00:00,DAI/USD,0.99881,0.99881,0.99881,0.99881,0.0,0.0
1678014000000,2023-03-05 11:00:00,DAI/USD,0.99881,0.99881,0.99881,0.99881,0.0,0.0
1678010400000,2023-03-05 10:00:00,DAI/USD,0.99888,0.99888,0.99881,0.99881,0.46133,0.4607810173
1678006800000,2023-03-05 09:00:00,DAI/USD,0.99918,0.99918,0.99888,0.99888,0.968529,0.9674442475199999
1678003200000,2023-03-05 08:00:00,DAI/USD,0.99918,0.99918,0.99918,0.99918,0.0,0.0
1677999600000,2023-03-05 07:00:00,DAI/USD,0.99883,0.99918,0.99883,0.99918,0.813904,0.81323659872
1677996000000,2023-03-05 06:00:00,DAI/USD,0.99883,0.99883,0.99883,0.99883,0.0,0.0
1677992400000,2023-03-05 05:00:00,DAI/USD,0.99884,0.99884,0.99883,0.99883,0.801592,0.80065413736
1677988800000,2023-03-05 04:00:00,DAI/USD,0.9998,0.9998,0.99884,0.99884,9881.6739,9870.211158275999
1677985200000,2023-03-05 03:00:00,DAI/USD,1.00193,1.00193,0.9998,0.9998,2210.860301,2210.4181289398
1677981600000,2023-03-05 02:00:00,DAI/USD,1.00168,1.00193,1.00168,1.00193,0.127599,0.12784526607
1677978000000,2023-03-05 01:00:00,DAI/USD,1.00168,1.00168,1.00168,1.00168,0.0,0.0
1677974400000,2023-03-05 00:00:00,DAI/USD,1.00266,1.00445,1.00168,1.00168,4522.6687,4530.266783416
1677970800000,2023-03-04 23:00:00,DAI/USD,1.00067,1.00266,1.00067,1.00266,3.979437,3.9900223024200003
1677967200000,2023-03-04 22:00:00,DAI/USD,1.00067,1.00067,1.00067,1.00067,0.136381,0.13647237527
1677963600000,2023-03-04 21:00:00,DAI/USD,1.00067,1.00067,1.00067,1.00067,2.183694,2.18515707498
1677960000000,2023-03-04 20:00:00,DAI/USD,1.00067,1.00067,1.00067,1.00067,0.0,0.0
1677956400000,2023-03-04 19:00:00,DAI/USD,1.00065,1.00067,1.00065,1.00067,0.794792,0.79532451064
1677952800000,2023-03-04 18:00:00,DAI/USD,1.00065,1.00065,1.00065,1.00065,0.0,0.0
1677949200000,2023-03-04 17:00:00,DAI/USD,1.00296,1.00296,1.00065,1.00065,1.405018,1.4059312617000002
1677945600000,2023-03-04 16:00:00,DAI/USD,1.00296,1.00296,1.00296,1.00296,0.0,0.0
1677942000000,2023-03-04 15:00:00,DAI/USD,1.0,1.00296,1.0,1.00296,997.300347,1000.2523560271201
1677938400000,2023-03-04 14:00:00,DAI/USD,1.0,1.0,1.0,1.0,0.189977,0.189977
1677934800000,2023-03-04 13:00:00,DAI/USD,1.0,1.0,1.0,1.0,0.7135,0.7135
1677931200000,2023-03-04 12:00:00,DAI/USD,1.00001,1.00001,1.0,1.0,13200.0,13200.0
1677927600000,2023-03-04 11:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,10060.453198,10060.55380253198
1677924000000,2023-03-04 10:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,0.470771,0.47077570771000005
1677920400000,2023-03-04 09:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,0.0,0.0
1677916800000,2023-03-04 08:00:00,DAI/USD,1.00197,1.00197,1.00001,1.00001,1.007407,1.00741707407
1677913200000,2023-03-04 07:00:00,DAI/USD,1.00001,1.00197,1.00001,1.00197,1.007913,1.00989858861
1677909600000,2023-03-04 06:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,0.0,0.0
1677906000000,2023-03-04 05:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,1.209589,1.20960109589
1677902400000,2023-03-04 04:00:00,DAI/USD,1.00001,1.00093,1.00001,1.00001,644.992949,644.99939892949
