https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1643508000000,2022-01-30 02:00:00,BAT/USD,0.84251,0.8535,0.84251,0.8535,9904.305176,8453.324467716
1643504400000,2022-01-30 01:00:00,BAT/USD,0.84117,0.85037,0.84117,0.84251,3726.159376,3139.32653587376
1643500800000,2022-01-30 00:00:00,BAT/USD,0.85136,0.85564,0.83609,0.84117,1208.880874,1016.87432478258
1643497200000,2022-01-29 23:00:00,BAT/USD,0.8523,0.8523,0.84351,0.85136,156.727498,133.43152269728
1643493600000,2022-01-29 22:00:00,BAT/USD,0.85421,0.85421,0.84644,0.8523,1423.119622,1212.9248538306
1643490000000,2022-01-29 21:00:00,BAT/USD,0.85016,0.86186,0.85016,0.85421,388.767018,332.08867444578004
1643486400000,2022-01-29 20:00:00,BAT/USD,0.84928,0.86293,0.84928,0.85016,3911.679437,3325.55339015992
1643482800000,2022-01-29 19:00:00,BAT/USD,0.85344,0.85649,0.84928,0.84928,5707.978617,4847.67207984576
1643479200000,2022-01-29 18:00:00,BAT/USD,0.85341,0.85585,0.84527,0.85344,3373.91694,2879.4356732736
1643475600000,2022-01-29 17:00:00,BAT/USD,0.84729,0.8588,0.84729,0.85341,19191.957628,16378.60855931148
1643472000000,2022-01-29 16:00:00,BAT/USD,0.84231,0.84729,0.83712,0.84729,1013.468817,858.70199395593
1643468400000,2022-01-29 15:00:00,BAT/USD,0.84581,0.84996,0.84,0.84231,2318.262072,1952.69532586632
1643464800000,2022-01-29 14:00:00,BAT/USD,0.87421,0.87421,0.84581,0.84581,1532.844725,1296.4953968522498
1643461200000,2022-01-29 13:00:00,BAT/USD,0.86553,0.87524,0.85981,0.87421,6994.180675,6114.38268789175
1643457600000,2022-01-29 12:00:00,BAT/USD,0.86438,0.8673,0.85989,0.86553,173.888993,150.50614011129
1643454000000,2022-01-29 11:00:00,BAT/USD,0.87185,0.87185,0.86294,0.86438,77.547272,67.03031097136001
1643450400000,2022-01-29 10:00:00,BAT/USD,0.87533,0.87533,0.86951,0.87185,57.506421,50.136973148850004
1643446800000,2022-01-29 09:00:00,BAT/USD,0.87547,0.87547,0.86704,0.87533,5394.158925,4721.66913182025
1643443200000,2022-01-29 08:00:00,BAT/USD,0.88353,0.8848,0.87547,0.87547,3045.379878,2666.13872179266
1643439600000,2022-01-29 07:00:00,BAT/USD,0.87269,0.88426,0.87269,0.88353,7322.925818,6470.02464797754
1643436000000,2022-01-29 06:00:00,BAT/USD,0.8777,0.879,0.87269,0.87269,63.495486,55.41187567734
1643432400000,2022-01-29 05:00:00,BAT/USD,0.88377,0.88401,0.87344,0.8777,97401.038201,85488.89122901771
1643428800000,2022-01-29 04:00:00,BAT/USD,0.8899,0.89333,0.8831,0.88377,6039.760428,5337.75907345356
1643425200000,2022-01-29 03:00:00,BAT/USD,0.89198,0.89639,0.8871,0.8899,13533.131207,12043.1334611093
1643421600000,2022-01-29 02:00:00,BAT/USD,0.89175,0.89568,0.88866,0.89198,870.210449,776.2103162990201
1643418000000,2022-01-29 01:00:00,BAT/USD,0.88943,0.89393,0.88523,0.89175,2983.456797,2660.49759872475
1643414400000,2022-01-29 00:00:00,BAT/USD,0.86618,0.88943,0.86487,0.88943,3585.626245,3189.16355109035
1643410800000,2022-01-28 23:00:00,BAT/USD,0.86245,0.86708,0.85768,0.86618,959.983577,831.5185747258599
1643407200000,2022-01-28 22:00:00,BAT/USD,0.85989,0.86552,0.85659,0.86245,3296.443194,2843.0174326653
1643403600000,2022-01-28 21:00:00,BAT/USD,0.86301,0.8676,0.85989,0.85989,306.205916,263.30340510924003
1643400000000,2022-01-28 20:00:00,BAT/USD,0.8589,0.87106,0.8589,0.86301,849.338261,732.9874126256101
1643396400000,2022-01-28 19:00:00,BAT/USD,0.86144,0.86221,0.85166,0.8589,2054.557553,1764.6594822717
1643392800000,2022-01-28 18:00:00,BAT/USD,0.84756,0.86334,0.84756,0.86144,2014.046994,1734.98064251136
1643389200000,2022-01-28 17:00:00,BAT/USD,0.85667,0.86413,0.84756,0.84756,594.620873,503.97686711987996
