https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1605060000000,2020-11-11 02:00:00,YFI/USD,18933.59,19275.55,18562.07,18777.79,2.055465,38597.09012235
1605056400000,2020-11-11 01:00:00,YFI/USD,19068.28,19068.28,18730.2,18933.59,0.987814,18702.865272259998
1605052800000,2020-11-11 00:00:00,YFI/USD,18094.53,19271.0,18094.53,19068.28,3.240078,61782.71452584
1605049200000,2020-11-10 23:00:00,YFI/USD,18631.17,18631.17,18036.75,18094.53,1.981399,35852.48364747
1605045600000,2020-11-10 22:00:00,YFI/USD,17926.08,18873.42,17926.08,18631.17,5.69155903,106040.40385296509
1605042000000,2020-11-10 21:00:00,YFI/USD,17694.21,18033.95,17694.21,17926.08,1.538951,27587.358742080003
1605038400000,2020-11-10 20:00:00,YFI/USD,17931.3,18099.87,17622.33,17694.21,0.52281048,9250.718423320799
1605034800000,2020-11-10 19:00:00,YFI/USD,18363.85,18363.85,17738.75,17931.3,3.002836,53844.753166799994
1605031200000,2020-11-10 18:00:00,YFI/USD,18158.83,18409.43,17920.19,18363.85,2.538487,46616.39449494999
1605027600000,2020-11-10 17:00:00,YFI/USD,17247.8,18311.6,17247.8,18158.83,2.5639388,46558.128799604005
1605024000000,2020-11-10 16:00:00,YFI/USD,17106.98,17433.43,17057.21,17247.8,2.91685184,50309.277165952
1605020400000,2020-11-10 15:00:00,YFI/USD,17286.84,17474.51,16757.31,17106.98,4.772426,81641.79613348
1605016800000,2020-11-10 14:00:00,YFI/USD,17936.47,17936.47,17103.65,17286.84,3.10715158,53712.8322192072
1605013200000,2020-11-10 13:00:00,YFI/USD,17865.74,17936.47,17437.48,17936.47,2.8968959,51960.086403473004
1605009600000,2020-11-10 12:00:00,YFI/USD,17685.41,18125.38,17615.05,17865.74,1.282744,22917.170790560005
1605006000000,2020-11-10 11:00:00,YFI/USD,17926.61,17926.61,17146.48,17685.41,0.508705,8996.65649405
1605002400000,2020-11-10 10:00:00,YFI/USD,18045.27,18058.26,17547.14,17926.61,1.419934,25454.60304374
1604998800000,2020-11-10 09:00:00,YFI/USD,17354.04,18430.97,17354.04,18045.27,4.81053589,86807.4189797403
1604995200000,2020-11-10 08:00:00,YFI/USD,16938.92,17773.65,16938.92,17354.04,6.394529,110970.91204716002
1604991600000,2020-11-10 07:00:00,YFI/USD,16905.78,17171.89,16715.26,16938.92,3.163469,53585.74831348
1604988000000,2020-11-10 06:00:00,YFI/USD,17227.08,17408.2,16685.39,16905.78,2.77678613,46943.7354208314
