https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1687759200000,2023-06-26 06:00:00,LINK/USD,6.11549,6.21646,6.11549,6.21646,119.735431,744.33051739426
1687755600000,2023-06-26 05:00:00,LINK/USD,6.11907,6.12204,6.07648,6.11549,582.056023,3559.55778809627
1687752000000,2023-06-26 04:00:00,LINK/USD,6.12751,6.13208,6.11408,6.11907,162.2511,992.825838477
1687748400000,2023-06-26 03:00:00,LINK/USD,6.09855,6.13899,6.0968,6.12751,412.026242,2524.69491811742
1687744800000,2023-06-26 02:00:00,LINK/USD,6.08074,6.11083,6.05367,6.09855,328.550559,2003.6820115894502
1687741200000,2023-06-26 01:00:00,LINK/USD,6.13098,6.13098,6.05366,6.08074,119.62934,727.4349129115999
1687737600000,2023-06-26 00:00:00,LINK/USD,6.13328,6.15032,6.11541,6.13098,182.396918,1118.27185631964
1687734000000,2023-06-25 23:00:00,LINK/USD,6.15,6.15382,6.13327,6.13328,95.19413,583.8522536464
1687730400000,2023-06-25 22:00:00,LINK/USD,6.11091,6.15,6.11091,6.15,1114.456006,6853.904436899999
1687726800000,2023-06-25 21:00:00,LINK/USD,6.09227,6.11925,6.08236,6.11091,28.883674,176.50553228334
1687723200000,2023-06-25 20:00:00,LINK/USD,6.095,6.15132,6.06493,6.09227,335.070718,2041.34128314986
1687719600000,2023-06-25 19:00:00,LINK/USD,6.19449,6.19449,6.09499,6.095,1892.289247,11533.502960464999
1687716000000,2023-06-25 18:00:00,LINK/USD,6.20493,6.20493,6.19448,6.19449,62.400129,386.53697508921
1687712400000,2023-06-25 17:00:00,LINK/USD,6.21269,6.23251,6.19008,6.20493,19.09441,118.4794774413
1687708800000,2023-06-25 16:00:00,LINK/USD,6.20841,6.22467,6.19071,6.21269,36.04922,223.9626286018
1687705200000,2023-06-25 15:00:00,LINK/USD,6.22091,6.22091,6.19008,6.20841,139.132239,863.78998392999
1687701600000,2023-06-25 14:00:00,LINK/USD,6.22334,6.26121,6.20225,6.22091,97.277038,605.15169846458
1687698000000,2023-06-25 13:00:00,LINK/USD,6.31755,6.31755,6.22334,6.22334,683.458321,4253.39350741214
1687694400000,2023-06-25 12:00:00,LINK/USD,6.30541,6.32177,6.30541,6.31755,129.579138,818.6226832719
1687690800000,2023-06-25 11:00:00,LINK/USD,6.29582,6.31823,6.29582,6.30541,99.254047,625.83746049427
1687687200000,2023-06-25 10:00:00,LINK/USD,6.34364,6.34689,6.29582,6.29582,132.814624,836.17696607168
1687683600000,2023-06-25 09:00:00,LINK/USD,6.33623,6.35895,6.3011,6.34364,37.813039,239.87230672196
1687680000000,2023-06-25 08:00:00,LINK/USD,6.28079,6.37166,6.28079,6.33623,364.110586,2307.08841833078
1687676400000,2023-06-25 07:00:00,LINK/USD,6.3165,6.3165,6.25388,6.28079,767.747522,4822.06095870238
1687672800000,2023-06-25 06:00:00,LINK/USD,6.26618,6.31651,6.25318,6.3165,657.565613,4153.513194514499
1687669200000,2023-06-25 05:00:00,LINK/USD,6.22602,6.26618,6.19144,6.26618,197.0069,1234.480696642
1687665600000,2023-06-25 04:00:00,LINK/USD,6.2484,6.24889,6.22602,6.22602,560.442099,3489.3237172159797
1687662000000,2023-06-25 03:00:00,LINK/USD,6.21293,6.2484,6.2074,6.2484,1149.095975,7180.01129019
1687658400000,2023-06-25 02:00:00,LINK/USD,6.16452,6.22592,6.14164,6.21293,694.930676,4317.55564484068
1687654800000,2023-06-25 01:00:00,LINK/USD,6.17128,6.17481,6.14,6.16452,299.362882,1845.4284733466402
