https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1653037200000,2022-05-20 09:00:00,AAVE/USD,91.5089,93.8,91.2656,93.5359,2.279354,213.20142780860002
1653033600000,2022-05-20 08:00:00,AAVE/USD,90.0577,93.5302,89.4606,91.5089,143.716373,13151.3272052197
1653030000000,2022-05-20 07:00:00,AAVE/USD,90.6674,91.2509,89.7691,90.0577,0.936827,84.36848491789999
1653026400000,2022-05-20 06:00:00,AAVE/USD,92.7058,92.927,89.8423,90.6674,69.279983,6281.4359306542
1653022800000,2022-05-20 05:00:00,AAVE/USD,92.2648,92.7058,91.658,92.7058,19.587709,1815.8942330122
1653019200000,2022-05-20 04:00:00,AAVE/USD,92.4543,93.4294,91.5492,92.2648,48.707441,4493.9823023768
1653015600000,2022-05-20 03:00:00,AAVE/USD,92.8658,93.2076,92.0704,92.4543,321.67925,29740.629883275004
1653012000000,2022-05-20 02:00:00,AAVE/USD,93.1428,93.4383,92.0237,92.8658,21.730837,2018.0515626745998
1653008400000,2022-05-20 01:00:00,AAVE/USD,91.4658,94.2737,90.4682,93.1428,954.103914,88867.9100409192
1653004800000,2022-05-20 00:00:00,AAVE/USD,91.5709,92.0191,90.0092,91.4658,72.870259,6665.1365356422
1653001200000,2022-05-19 23:00:00,AAVE/USD,89.4562,91.8228,89.4562,91.5709,290.745334,26623.8119051806
1652997600000,2022-05-19 22:00:00,AAVE/USD,89.0203,89.4562,87.8362,89.4562,2.474965,221.400964033
1652994000000,2022-05-19 21:00:00,AAVE/USD,89.0935,90.0113,88.9157,89.0203,140.701042,12525.2489691526
1652990400000,2022-05-19 20:00:00,AAVE/USD,87.025,89.0935,87.0143,89.0935,3.468219,308.9957694765
1652986800000,2022-05-19 19:00:00,AAVE/USD,87.6127,88.1128,86.7538,87.025,5.243326,456.30044515000003
1652983200000,2022-05-19 18:00:00,AAVE/USD,87.7322,88.3573,87.4312,87.6127,5.881255,515.2726299385
1652979600000,2022-05-19 17:00:00,AAVE/USD,87.5173,88.4741,87.0194,87.7322,336.655463,29535.524411008602
1652976000000,2022-05-19 16:00:00,AAVE/USD,88.6276,89.4906,87.4351,87.5173,43.127712,3774.4209094176003
1652972400000,2022-05-19 15:00:00,AAVE/USD,86.4432,90.1972,86.3812,88.6276,56.928421,5045.4293250196
1652968800000,2022-05-19 14:00:00,AAVE/USD,85.553,87.1299,85.5448,86.4432,11.810568,1020.9432917376
1652965200000,2022-05-19 13:00:00,AAVE/USD,84.7046,87.9658,84.3743,85.553,139.232685,11911.773899804999
1652961600000,2022-05-19 12:00:00,AAVE/USD,86.0104,86.0104,83.8823,84.7046,4.058039,343.7345702794
1652958000000,2022-05-19 11:00:00,AAVE/USD,83.2178,86.0104,81.8799,86.0104,58.010723,4989.5254895192
1652954400000,2022-05-19 10:00:00,AAVE/USD,82.596,83.5375,81.8334,83.2178,27.635491,2299.7647629397998
1652950800000,2022-05-19 09:00:00,AAVE/USD,82.9579,83.5039,81.3228,82.596,55.984898,4624.128635208001
1652947200000,2022-05-19 08:00:00,AAVE/USD,83.8097,84.9341,82.9579,82.9579,3.544772,294.0668410988
1652943600000,2022-05-19 07:00:00,AAVE/USD,85.8093,85.8093,83.8097,83.8097,1.124924,94.27954296280001
1652940000000,2022-05-19 06:00:00,AAVE/USD,82.6219,86.2133,82.6219,85.8093,10.269072,881.1818799695999
1652936400000,2022-05-19 05:00:00,AAVE/USD,83.5704,84.5437,82.6219,82.6219,7.421517,613.1798354222999
1652932800000,2022-05-19 04:00:00,AAVE/USD,84.6736,85.362,83.5704,83.5704,2.266999,189.45401322960004
1652929200000,2022-05-19 03:00:00,AAVE/USD,83.159,85.5994,82.6563,84.6736,86.184054,7297.5141147744
1652925600000,2022-05-19 02:00:00,AAVE/USD,80.3115,84.4552,79.4248,83.159,74.256749,6175.116990091
1652922000000,2022-05-19 01:00:00,AAVE/USD,82.3533,83.6304,80.0,80.3115,60.165172,4831.955211078
1652918400000,2022-05-19 00:00:00,AAVE/USD,81.2847,83.8747,81.2847,82.3533,25.571794,2105.9216228202004
1652914800000,2022-05-18 23:00:00,AAVE/USD,83.5063,84.1931,81.2847,81.2847,21.282506,1729.9421154582
1652911200000,2022-05-18 22:00:00,AAVE/USD,83.3263,85.1946,83.3252,83.5063,9.258585,773.1501765854999
1652907600000,2022-05-18 21:00:00,AAVE/USD,84.5927,84.8813,83.3263,83.3263,86.427286,7201.6659614218
1652904000000,2022-05-18 20:00:00,AAVE/USD,85.8846,85.8846,83.7067,84.5927,13.618908,1152.0601987715997
1652900400000,2022-05-18 19:00:00,AAVE/USD,84.2886,85.9494,84.2886,85.8846,267.242652,22952.028269959203
1652896800000,2022-05-18 18:00:00,AAVE/USD,83.5759,84.5437,83.4853,84.2886,64.903074,5470.589243156401
1652893200000,2022-05-18 17:00:00,AAVE/USD,84.2684,84.3079,83.0443,83.5759,7.129819,595.8810397621
1652889600000,2022-05-18 16:00:00,AAVE/USD,82.694,84.5437,81.6098,84.2684,129.152245,10883.453042558
1652886000000,2022-05-18 15:00:00,AAVE/USD,85.2335,85.2335,82.658,82.694,68.994361,5705.419688534
1652882400000,2022-05-18 14:00:00,AAVE/USD,86.3053,87.1667,84.6488,85.2335,109.521988,9334.942364198
1652878800000,2022-05-18 13:00:00,AAVE/USD,87.3109,92.2637,86.0466,86.3053,190.966701,16481.438419815302
1652875200000,2022-05-18 12:00:00,AAVE/USD,89.5762,89.9662,87.0983,87.3109,77.026171,6725.224313563901
1652871600000,2022-05-18 11:00:00,AAVE/USD,89.9597,90.2468,89.1827,89.5762,119.886562,10738.9826550244
1652868000000,2022-05-18 10:00:00,AAVE/USD,89.6919,90.6801,89.6919,89.9597,1.19069,107.114115193
1652864400000,2022-05-18 09:00:00,AAVE/USD,90.0647,90.6596,89.3474,89.6919,0.453463,40.6719580497
1652860800000,2022-05-18 08:00:00,AAVE/USD,90.2165,90.3706,89.3479,90.0647,0.233538,21.0335299086
1652857200000,2022-05-18 07:00:00,AAVE/USD,89.164,90.2165,88.9512,90.2165,37.359068,3370.4043582219997
1652853600000,2022-05-18 06:00:00,AAVE/USD,90.3461,90.6593,89.0807,89.164,1.584138,141.248080632
1652850000000,2022-05-18 05:00:00,AAVE/USD,88.9504,90.3658,88.8799,90.3461,381.796653,34493.8385916033
1652846400000,2022-05-18 04:00:00,AAVE/USD,89.709,90.8094,88.8843,88.9504,64.955886,5777.852042054401
1652842800000,2022-05-18 03:00:00,AAVE/USD,93.2645,93.2645,89.6268,89.709,88.712456,7958.305715304001
1652839200000,2022-05-18 02:00:00,AAVE/USD,93.2544,94.1751,92.8131,93.2645,51.41167,4794.883696715
1652835600000,2022-05-18 01:00:00,AAVE/USD,95.3245,95.3944,93.2301,93.2544,136.512204,12730.3636766976
1652832000000,2022-05-18 00:00:00,AAVE/USD,92.6866,96.9112,92.6848,95.3245,518.621953,49437.378358748494
1652828400000,2022-05-17 23:00:00,AAVE/USD,90.623,93.4006,90.623,92.6866,20.539375,1903.724834875
1652824800000,2022-05-17 22:00:00,AAVE/USD,90.69,92.9994,90.4087,90.623,61.665235,5588.288591405
1652821200000,2022-05-17 21:00:00,AAVE/USD,88.3767,90.69,88.3767,90.69,22.217017,2014.8612717299998
