https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1703692800000,2023-12-27 16:00:00,LRC/USD,0.33297,0.333,0.31854,0.325,4638.928844,1507.6518743000001
1703689200000,2023-12-27 15:00:00,LRC/USD,0.3239,0.35,0.32256,0.33297,23624.905138,7866.3846637998595
1703685600000,2023-12-27 14:00:00,LRC/USD,0.31197,0.32391,0.31197,0.3239,3032.844725,982.3384064275
1703682000000,2023-12-27 13:00:00,LRC/USD,0.30481,0.31197,0.30481,0.31197,2056.695767,641.6273784309901
1703678400000,2023-12-27 12:00:00,LRC/USD,0.3052,0.3052,0.30481,0.30481,156.716174,47.76865699694
1703674800000,2023-12-27 11:00:00,LRC/USD,0.29628,0.3052,0.29628,0.3052,799.653816,244.0543446432
1703671200000,2023-12-27 10:00:00,LRC/USD,0.29389,0.29628,0.29389,0.29628,65.349057,19.36161860796
1703667600000,2023-12-27 09:00:00,LRC/USD,0.29389,0.29389,0.29389,0.29389,0.0,0.0
1703664000000,2023-12-27 08:00:00,LRC/USD,0.29389,0.29389,0.29389,0.29389,0.0,0.0
1703660400000,2023-12-27 07:00:00,LRC/USD,0.29389,0.29389,0.29389,0.29389,0.0,0.0
1703656800000,2023-12-27 06:00:00,LRC/USD,0.2854,0.29389,0.2854,0.29389,101.531158,29.83899202462
1703653200000,2023-12-27 05:00:00,LRC/USD,0.2939,0.2939,0.2854,0.2854,1732.847838,494.55477296519996
1703649600000,2023-12-27 04:00:00,LRC/USD,0.28953,0.2939,0.28953,0.2939,17.368634,5.1046415326
1703646000000,2023-12-27 03:00:00,LRC/USD,0.30012,0.30628,0.28953,0.28953,4053.493431,1173.60795307743
1703642400000,2023-12-27 02:00:00,LRC/USD,0.30012,0.30012,0.30012,0.30012,0.0,0.0
1703638800000,2023-12-27 01:00:00,LRC/USD,0.30012,0.30012,0.30012,0.30012,44.964031,13.494604983719999
1703635200000,2023-12-27 00:00:00,LRC/USD,0.29467,0.30622,0.29467,0.30012,469.019849,140.76223708188002
1703631600000,2023-12-26 23:00:00,LRC/USD,0.30028,0.30516,0.29467,0.29467,819.806476,241.57237428291998
1703628000000,2023-12-26 22:00:00,LRC/USD,0.28796,0.30031,0.28796,0.30028,889.975518,267.24184854504
1703624400000,2023-12-26 21:00:00,LRC/USD,0.29544,0.29544,0.28796,0.28796,20.007192,5.76127100832
1703620800000,2023-12-26 20:00:00,LRC/USD,0.29248,0.29545,0.28715,0.29544,2839.764885,838.9801376244
1703617200000,2023-12-26 19:00:00,LRC/USD,0.2814,0.29248,0.2814,0.29248,1778.915626,520.2972422924801
1703613600000,2023-12-26 18:00:00,LRC/USD,0.28772,0.28772,0.2814,0.2814,2213.520628,622.8847047192
1703610000000,2023-12-26 17:00:00,LRC/USD,0.295,0.295,0.28168,0.28772,2776.191911,798.7659366329199
1703606400000,2023-12-26 16:00:00,LRC/USD,0.30863,0.30863,0.295,0.295,6324.770882,1865.80741019
1703602800000,2023-12-26 15:00:00,LRC/USD,0.31247,0.31247,0.30022,0.30863,2037.114542,628.7146610974601
1703599200000,2023-12-26 14:00:00,LRC/USD,0.31184,0.31247,0.30576,0.31247,358.909693,112.14851177171
1703595600000,2023-12-26 13:00:00,LRC/USD,0.31184,0.31184,0.31184,0.31184,0.0,0.0
1703592000000,2023-12-26 12:00:00,LRC/USD,0.31159,0.31184,0.3086,0.31184,129.336527,40.33230257968
1703588400000,2023-12-26 11:00:00,LRC/USD,0.30944,0.31159,0.30944,0.31159,1072.925889,334.31297775351
1703584800000,2023-12-26 10:00:00,LRC/USD,0.29564,0.30944,0.29564,0.30944,1243.914053,384.91676456031996
