https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1647540000000,2022-03-17 18:00:00,MANA/USD,2.44128,2.45037,2.43866,2.44,9949.616826,24277.065055439998
1647536400000,2022-03-17 17:00:00,MANA/USD,2.45617,2.45617,2.43545,2.44128,1904.16347,4648.5961960416
1647532800000,2022-03-17 16:00:00,MANA/USD,2.43398,2.46008,2.43398,2.45617,3484.238186,8557.881305307621
1647529200000,2022-03-17 15:00:00,MANA/USD,2.43089,2.44904,2.42624,2.43398,8953.823641,21793.42766572118
1647525600000,2022-03-17 14:00:00,MANA/USD,2.45211,2.46223,2.42824,2.43089,3257.614334,7918.90210837726
1647522000000,2022-03-17 13:00:00,MANA/USD,2.44829,2.45715,2.43669,2.45211,21797.564419,53450.02568747408
1647518400000,2022-03-17 12:00:00,MANA/USD,2.43525,2.46559,2.43525,2.44829,5455.604339,13356.901547130312
1647514800000,2022-03-17 11:00:00,MANA/USD,2.43267,2.43584,2.42789,2.43525,1378.50323,3356.9999908575
1647511200000,2022-03-17 10:00:00,MANA/USD,2.4305,2.44248,2.41696,2.43267,886.52523,2156.6233312640998
1647507600000,2022-03-17 09:00:00,MANA/USD,2.45037,2.45299,2.42029,2.4305,6226.395822,15133.255045371001
1647504000000,2022-03-17 08:00:00,MANA/USD,2.44086,2.45672,2.43932,2.45037,1516.123907,3715.0645379955895
1647500400000,2022-03-17 07:00:00,MANA/USD,2.4383,2.45457,2.43351,2.44086,506.654384,1236.6724197302399
1647496800000,2022-03-17 06:00:00,MANA/USD,2.44579,2.46525,2.42894,2.4383,2515.151563,6132.694056062899
1647493200000,2022-03-17 05:00:00,MANA/USD,2.45547,2.45746,2.4436,2.44579,922.397965,2255.99171881735
1647489600000,2022-03-17 04:00:00,MANA/USD,2.45615,2.45672,2.43545,2.45547,8478.947049,20819.800110408032
1647486000000,2022-03-17 03:00:00,MANA/USD,2.4874,2.4874,2.45506,2.45615,9999.133475,24559.371684621252
1647482400000,2022-03-17 02:00:00,MANA/USD,2.50119,2.50119,2.46221,2.4874,8562.812892,21299.140787560802
1647478800000,2022-03-17 01:00:00,MANA/USD,2.49108,2.50714,2.46496,2.50119,9167.946241,22930.775458526787
1647475200000,2022-03-17 00:00:00,MANA/USD,2.49688,2.53294,2.48034,2.49108,14556.309493,36260.93145182244
1647471600000,2022-03-16 23:00:00,MANA/USD,2.45923,2.50293,2.45923,2.49688,15492.699288,38683.410998221436
1647468000000,2022-03-16 22:00:00,MANA/USD,2.4329,2.46326,2.42558,2.45923,12577.528725,30931.035966381747
1647464400000,2022-03-16 21:00:00,MANA/USD,2.43346,2.45619,2.42604,2.4329,3728.436293,9070.9126572397
1647460800000,2022-03-16 20:00:00,MANA/USD,2.42914,2.44168,2.42107,2.43346,21245.904077,51701.057735216425
1647457200000,2022-03-16 19:00:00,MANA/USD,2.37479,2.4405,2.36843,2.42914,16950.050014,41174.04449100796
1647453600000,2022-03-16 18:00:00,MANA/USD,2.32514,2.38648,2.28798,2.37479,35937.570091,85344.1820764059
1647450000000,2022-03-16 17:00:00,MANA/USD,2.32888,2.33939,2.31376,2.32514,5327.790843,12387.85960069302
